title,price_gbp,rating,availability,category,rating_numeric
Everyday Italian: 125 Simple and Delicious Recipes,20.1,Five,In stock,Books,5
Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,One,In stock,Books,1
Eleanor & Park,56.51,Five,In stock,Books,5
Dirty (Dive Bar #1),40.83,Four,In stock,Books,4
Can You Keep a Secret? (Fear Street Relaunch #4),48.64,One,In stock,Books,1
Boar Island (Anna Pigeon #19),59.48,Three,In stock,Books,3
A Paris Apartment,39.01,Four,In stock,Books,4
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,One,In stock,Books,1
Troublemaker: Surviving Hollywood and Scientology,48.39,Two,In stock,Books,2
The Widow,27.26,Two,In stock,Books,2
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,Four,In stock,Books,4
The Improbability of Love,59.45,One,In stock,Books,1
The Art of Startup Fundraising,21.0,Three,In stock,Books,3
Take Me Home Tonight (Rock Star Romance #3),53.98,Three,In stock,Books,3
Sleeping Giants (Themis Files #1),48.74,One,In stock,Books,1
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,Two,In stock,Books,2
Playing with Fire,13.71,Three,In stock,Books,3
Off the Hook (Fishing for Trouble #1),47.67,Three,In stock,Books,3
Mothering Sunday,13.34,Two,In stock,Books,2
"Mother, Can You Not?",16.89,Five,In stock,Books,5
M Train,27.18,One,In stock,Books,1
Lilac Girls,17.28,Two,In stock,Books,2
Lies and Other Acts of Love,45.14,One,In stock,Books,1
Lab Girl,40.85,One,In stock,Books,1
Keep Me Posted,20.46,Four,In stock,Books,4
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,56.27,Three,In stock,Books,3
Grey (Fifty Shades #4),48.49,Four,In stock,Books,4
"Exit, Pursued by a Bear",51.34,Four,In stock,Books,4
Daredevils,16.34,Three,In stock,Books,3
Cravings: Recipes for What You Want to Eat,20.5,Three,In stock,Books,3
Born for This: How to Find the Work You Were Meant to Do,21.59,Five,In stock,Books,5
Arena,21.36,Four,In stock,Books,4
Adultery,20.88,Five,In stock,Books,5
A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,Three,In stock,Books,3
A Gentleman's Position (Society of Gentlemen #3),14.75,Five,In stock,Books,5
11/22/63,48.48,Three,In stock,Books,3
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,Two,In stock,Books,2
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,49.71,Five,In stock,Books,5
Without Shame,48.27,Five,In stock,Books,5
Watchmen,58.05,Four,In stock,Books,4
Unlimited Intuition Now,58.87,Four,In stock,Books,4
Underlying Notes,11.82,Two,In stock,Books,2
The Shack,28.03,One,In stock,Books,1
The New Brand You: Your New Image Makes the Sale for You,44.05,Five,In stock,Books,5
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,Four,In stock,Books,4
The Flowers Lied,16.68,Two,In stock,Books,2
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,One,In stock,Books,1
The Book of Mormon,24.57,Three,In stock,Books,3
The Art and Science of Low Carbohydrate Living,52.98,Five,In stock,Books,5
The Alien Club,54.4,One,In stock,Books,1
Suzie Snowflake: One beautiful flake (a self-esteem story),54.81,Five,In stock,Books,5
Nap-a-Roo,25.08,One,In stock,Books,1
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,Four,In stock,Books,4
Modern Day Fables,47.44,Two,In stock,Books,2
If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91,One,In stock,Books,1
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,Four,In stock,Books,4
Dress Your Family in Corduroy and Denim,43.68,Three,In stock,Books,3
Don't Forget Steven,33.23,One,In stock,Books,1
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,Two,In stock,Books,2
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,48.63,Four,In stock,Books,4
A Shard of Ice (The Black Symphony Saga #1),56.63,Three,In stock,Books,3
A Hero's Curse (The Unseen Chronicles #1),50.49,Three,In stock,Books,3
23 Degrees South: A Tropical Tale of Changing Whether...,35.79,Two,In stock,Books,2
"Zero to One: Notes on Startups, or How to Build the Future",34.06,Three,In stock,Books,3
Why Not Me?,17.76,One,In stock,Books,1
When Breath Becomes Air,39.36,Two,In stock,Books,2
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,Two,In stock,Books,2
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),43.62,Five,In stock,Books,5
The New Drawing on the Right Side of the Brain,43.02,Three,In stock,Books,3
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,Four,In stock,Books,4
The Martian (The Martian #1),41.39,Two,In stock,Books,2
The High Mountains of Portugal,51.15,One,In stock,Books,1
The Grownup,35.88,One,In stock,Books,1
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,One,In stock,Books,1
South of Sunshine,28.93,One,In stock,Books,1
Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,Five,In stock,Books,5
Silence in the Dark (Logan Point #4),58.33,Three,In stock,Books,3
Shadows of the Past (Logan Point #1),39.67,Five,In stock,Books,5
Roller Girl,14.1,Five,In stock,Books,5
Rising Strong,21.82,Three,In stock,Books,3
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,One,In stock,Books,1
Please Kill Me: The Uncensored Oral History of Punk,31.19,Four,In stock,Books,4
Out of Print: City Lights Spotlight No. 14,53.64,Five,In stock,Books,5
My Life Next Door (My Life Next Door ),36.39,Five,In stock,Books,5
Miller's Valley,58.54,Two,In stock,Books,2
Man's Search for Meaning,29.48,Three,In stock,Books,3
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,Two,In stock,Books,2
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,Three,In stock,Books,3
Les Fleurs du Mal,29.04,Five,In stock,Books,5
Left Behind (Left Behind #1),40.72,Two,In stock,Books,2
Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,Five,In stock,Books,5
Kierkegaard: A Christian Missionary to Christians,47.13,One,In stock,Books,1
John Vassos: Industrial Design for Modern Life,20.22,Four,In stock,Books,4
I'll Give You the Sun,56.48,One,In stock,Books,1
I Will Find You,44.21,One,In stock,Books,1
Hystopia: A Novel,21.96,Four,In stock,Books,4
Howl and Other Poems,40.45,Two,In stock,Books,2
History of Beauty,10.29,Four,In stock,Books,4
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,52.86,Two,In stock,Books,2
Future Shock (Future Shock #1),55.65,Five,In stock,Books,5
Ender's Game (The Ender Quintet #1),43.64,One,In stock,Books,1
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,One,In stock,Books,1
Death by Leisure: A Cautionary Tale,37.51,Four,In stock,Books,4
Brilliant Beacons: A History of the American Lighthouse,11.45,Three,In stock,Books,3
Brazen: The Courage to Find the You That's Been Hiding,19.22,Two,In stock,Books,2
Between the World and Me,56.91,Four,In stock,Books,4
Being Mortal: Medicine and What Matters in the End,55.06,Four,In stock,Books,4
"A Murder Over a Girl: Justice, Gender, Junior High",13.2,Three,In stock,Books,3
32 Yolks,53.63,Two,In stock,Books,2
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",44.48,Five,In stock,Books,5
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,12.08,Three,In stock,Books,3
Wildlife of New York: A Five-Borough Coloring Book,22.14,Two,In stock,Books,2
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,Five,In stock,Books,5
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,46.33,Two,In stock,Books,2
Under the Tuscan Sun,37.33,Three,In stock,Books,3
Toddlers Are A**holes: It's Not Your Fault,25.55,One,In stock,Books,1
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,34.72,One,In stock,Books,1
The Whale,35.96,Four,In stock,Books,4
The Story of Art,41.14,Four,In stock,Books,4
The Origin of Species,10.01,Four,In stock,Books,4
The Great Gatsby,36.05,Four,In stock,Books,4
The Good Girl,49.03,Three,In stock,Books,3
The Glass Castle,16.24,One,In stock,Books,1
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,39.55,One,In stock,Books,1
The Drowning Girls,35.67,Three,In stock,Books,3
The Constant Princess (The Tudor Court #1),16.62,Three,In stock,Books,3
The Bourne Identity (Jason Bourne #1),42.78,Four,In stock,Books,4
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,Five,In stock,Books,5
The Art Book,32.34,Two,In stock,Books,2
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,33.17,Four,In stock,Books,4
Team of Rivals: The Political Genius of Abraham Lincoln,20.12,Five,In stock,Books,5
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,20.9,Two,In stock,Books,2
"Sit, Stay, Love",20.9,Three,In stock,Books,3
Sister Dear,40.2,Four,In stock,Books,4
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,Three,In stock,Books,3
"Rich Dad, Poor Dad",51.74,One,In stock,Books,1
Raymie Nightingale,34.41,Two,In stock,Books,2
Playing from the Heart,32.38,One,In stock,Books,1
Nightstruck: A Novel,50.35,Four,In stock,Books,4
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38,Five,In stock,Books,5
Meternity,43.58,Three,In stock,Books,3
Memoirs of a Geisha,49.67,Three,In stock,Books,3
Like Never Before (Walker Family #2),28.77,Two,In stock,Books,2
Life of Pi,13.22,Four,In stock,Books,4
Leave This Song Behind: Teen Poetry at Its Best,51.17,Five,In stock,Books,5
King's Folly (The Kinsman Chronicles #1),39.61,Five,In stock,Books,5
John Adams,57.43,Four,In stock,Books,4
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),46.01,Four,In stock,Books,4
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,28.25,Two,In stock,Books,2
Good in Bed (Cannie Shapiro #1),37.05,Five,In stock,Books,5
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,One,In stock,Books,1
For the Love: Fighting for Grace in a World of Impossible Standards,45.13,Three,In stock,Books,3
Finding God in the Ruins: How God Redeems Pain,46.64,Two,In stock,Books,2
Every Heart a Doorway (Every Heart A Doorway #1),12.16,Five,In stock,Books,5
Delivering the Truth (Quaker Midwife Mystery #1),20.89,Four,In stock,Books,4
Counted With the Stars (Out from Egypt #1),17.97,Five,In stock,Books,5
"Chronicles, Vol. 1",52.6,Two,In stock,Books,2
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,25.77,One,In stock,Books,1
Benjamin Franklin: An American Life,48.19,Three,In stock,Books,3
"At The Existentialist Caf̩: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,Five,In stock,Books,5
A Summer In Europe,44.34,Two,In stock,Books,2
A Short History of Nearly Everything,52.4,Five,In stock,Books,5
A Gathering of Shadows (Shades of Magic #2),44.81,Four,In stock,Books,4
The Sound Of Love,57.84,Five,In stock,Books,5
The Rise and Fall of the Third Reich: A History of Nazi Germany,39.67,Two,In stock,Books,2
The Perks of Being a Wallflower,55.02,Three,In stock,Books,3
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,Four,In stock,Books,4
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,59.45,Four,In stock,Books,4
The Makings of a Fatherless Child,31.58,Two,In stock,Books,2
The Joy of Cooking,43.27,Four,In stock,Books,4
The Invention of Wings,37.34,One,In stock,Books,1
The Hobbit (Middle-Earth Universe),17.8,Five,In stock,Books,5
The Great Railway Bazaar,30.54,One,In stock,Books,1
The Golden Compass (His Dark Materials #1),18.77,One,In stock,Books,1
The God Delusion,46.85,Three,In stock,Books,3
The Girl You Left Behind (The Girl You Left Behind #1),15.79,One,In stock,Books,1
The Fellowship of the Ring (The Lord of the Rings #1),10.27,Two,In stock,Books,2
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42,Five,In stock,Books,5
The Barefoot Contessa Cookbook,59.92,Five,In stock,Books,5
Tell the Wolves I'm Home,50.96,Two,In stock,Books,2
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,30.6,Three,In stock,Books,3
Pride and Prejudice,19.27,Four,In stock,Books,4
Musicophilia: Tales of Music and the Brain,46.58,One,In stock,Books,1
Mere Christianity,48.51,Three,In stock,Books,3
Me Before You (Me Before You #1),19.02,One,In stock,Books,1
In the Woods (Dublin Murder Squad #1),38.38,Two,In stock,Books,2
In Cold Blood,49.98,Four,In stock,Books,4
How to Stop Worrying and Start Living,46.49,Five,In stock,Books,5
Give It Back,18.32,Two,In stock,Books,2
"Girl, Interrupted",42.14,Three,In stock,Books,3
Fun Home: A Family Tragicomic,56.59,Four,In stock,Books,4
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,Four,In stock,Books,4
Deception Point,40.32,Four,In stock,Books,4
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,Three,In stock,Books,3
Catherine the Great: Portrait of a Woman,58.55,Four,In stock,Books,4
Better Homes and Gardens New Cook Book,39.61,Three,In stock,Books,3
An Unquiet Mind: A Memoir of Moods and Madness,21.3,Three,In stock,Books,3
A Year in Provence (Provence #1),56.88,Four,In stock,Books,4
World Without End (The Pillars of the Earth #2),32.97,Four,In stock,Books,4
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",47.31,Four,In stock,Books,4
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,48.67,Two,In stock,Books,2
Where She Went (If I Stay #2),41.73,Four,In stock,Books,4
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,53.68,Four,In stock,Books,4
Two Summers,14.64,One,In stock,Books,1
This Is Your Brain on Music: The Science of a Human Obsession,38.4,One,In stock,Books,1
The Secret Garden,15.08,Four,In stock,Books,4
The Raven King (The Raven Cycle #4),30.57,Two,In stock,Books,2
The Raven Boys (The Raven Cycle #1),57.74,Four,In stock,Books,4
The Power Greens Cookbook: 140 Delicious Superfood Recipes,11.05,Five,In stock,Books,5
The Metamorphosis,28.58,One,In stock,Books,1
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,42.91,Five,In stock,Books,5
The Little Paris Bookshop,24.73,Three,In stock,Books,3
The Hiding Place,55.91,Four,In stock,Books,4
The Grand Design,13.76,Three,In stock,Books,3
The Firm,45.56,Three,In stock,Books,3
The Fault in Our Stars,47.22,One,In stock,Books,1
The False Prince (The Ascendance Trilogy #1),56.0,Five,In stock,Books,5
The Expatriates,44.58,Two,In stock,Books,2
The Dream Thieves (The Raven Cycle #2),34.5,One,In stock,Books,1
The Darkest Corners,11.33,Five,In stock,Books,5
The Crossover,38.77,Four,In stock,Books,4
The 5th Wave (The 5th Wave #1),11.83,Two,In stock,Books,2
Tell the Wind and Fire,45.51,Three,In stock,Books,3
Tell Me Three Things,41.81,One,In stock,Books,1
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,25.15,Four,In stock,Books,4
Siddhartha,34.22,Five,In stock,Books,5
Shiver (The Wolves of Mercy Falls #1),16.23,Five,In stock,Books,5
Remember Me?,11.48,Three,In stock,Books,3
Red Dragon (Hannibal Lecter #1),23.37,Three,In stock,Books,3
Peak: Secrets from the New Science of Expertise,16.28,Two,In stock,Books,2
My Mother Was Nuts,31.63,Four,In stock,Books,4
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,24.91,Five,In stock,Books,5
Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54,One,In stock,Books,1
Lola and the Boy Next Door (Anna and the French Kiss #2),23.63,Four,In stock,Books,4
Logan Kade (Fallen Crest High #5.5),13.12,Two,In stock,Books,2
Last One Home (New Beginnings #1),59.98,Three,In stock,Books,3
Killing Floor (Jack Reacher #1),31.49,Four,In stock,Books,4
Kill the Boy Band,15.52,Five,In stock,Books,5
Isla and the Happily Ever After (Anna and the French Kiss #3),48.13,Five,In stock,Books,5
If I Stay (If I Stay #1),38.13,Five,In stock,Books,5
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),36.55,Two,In stock,Books,2
Harry Potter and the Deathly Hallows (Harry Potter #7),23.32,One,In stock,Books,1
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,One,In stock,Books,1
Foundation (Foundation (Publication Order) #1),32.42,One,In stock,Books,1
Fool Me Once,16.96,One,In stock,Books,1
Find Her (Detective D.D. Warren #8),22.37,One,In stock,Books,1
Evicted: Poverty and Profit in the American City,42.27,One,In stock,Books,1
Drama,38.7,Two,In stock,Books,2
Dracula the Un-Dead,35.63,Five,In stock,Books,5
Digital Fortress,58.0,Five,In stock,Books,5
"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,One,In stock,Books,1
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",32.35,Three,In stock,Books,3
Critique of Pure Reason,20.75,One,In stock,Books,1
Booked,17.49,Five,In stock,Books,5
"Blue Lily, Lily Blue (The Raven Cycle #3)",34.13,Five,In stock,Books,5
Approval Junkie: Adventures in Caring Too Much,58.81,Five,In stock,Books,5
An Abundance of Katherines,10.0,Five,In stock,Books,5
America's War for the Greater Middle East: A Military History,51.22,Two,In stock,Books,2
Alight (The Generations Trilogy #2),58.59,Four,In stock,Books,4
A Girl's Guide to Moving On (New Beginnings #2),31.3,One,In stock,Books,1
A Game of Thrones (A Song of Ice and Fire #1),46.42,Two,In stock,Books,2
A Feast for Crows (A Song of Ice and Fire #4),17.21,Four,In stock,Books,4
A Clash of Kings (A Song of Ice and Fire #2),10.79,Three,In stock,Books,3
Vogue Colors A to Z: A Fashion Coloring Book,52.35,Four,In stock,Books,4
The Shining (The Shining #1),27.88,Three,In stock,Books,3
The Pilgrim's Progress,50.26,Two,In stock,Books,2
The Perfect Play (Play by Play #1),59.99,Three,In stock,Books,3
The Passion of Dolssa,28.32,Five,In stock,Books,5
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,38.71,Three,In stock,Books,3
The Hunger Games (The Hunger Games #1),29.85,Five,In stock,Books,5
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,Two,In stock,Books,2
The Gunning of America: Business and the Making of American Gun Culture,16.81,Four,In stock,Books,4
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,28.23,Two,In stock,Books,2
The Demonists (Demonist #1),52.11,Two,In stock,Books,2
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,Two,In stock,Books,2
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),59.71,Three,In stock,Books,3
The Beast (Black Dagger Brotherhood #14),46.08,Five,In stock,Books,5
Some Women,13.73,Five,In stock,Books,5
Shopaholic Ties the Knot (Shopaholic #3),48.39,Five,In stock,Books,5
Paper and Fire (The Great Library #2),49.45,Five,In stock,Books,5
Outlander (Outlander #1),19.67,Five,In stock,Books,5
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",12.36,Three,In stock,Books,3
No One Here Gets Out Alive,20.02,Five,In stock,Books,5
Night Shift (Night Shift #1-20),12.75,Four,In stock,Books,4
Needful Things,47.51,Four,In stock,Books,4
Mockingjay (The Hunger Games #3),20.44,Four,In stock,Books,4
Misery,34.79,Two,In stock,Books,2
Little Women (Little Women #1),28.07,Four,In stock,Books,4
It,25.01,Three,In stock,Books,3
Harry Potter and the Sorcerer's Stone (Harry Potter #1),13.9,Three,In stock,Books,3
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),24.17,Four,In stock,Books,4
Harry Potter and the Order of the Phoenix (Harry Potter #5),31.63,Four,In stock,Books,4
Harry Potter and the Half-Blood Prince (Harry Potter #6),48.75,Five,In stock,Books,5
Harry Potter and the Chamber of Secrets (Harry Potter #2),14.74,One,In stock,Books,1
Gone with the Wind,32.49,Three,In stock,Books,3
God Is Not Great: How Religion Poisons Everything,27.8,One,In stock,Books,1
Girl With a Pearl Earring,26.77,One,In stock,Books,1
"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,Four,In stock,Books,4
Far From True (Promise Falls Trilogy #2),34.93,Two,In stock,Books,2
Dark Lover (Black Dagger Brotherhood #1),12.87,One,In stock,Books,1
Confessions of a Shopaholic (Shopaholic #1),48.94,Two,In stock,Books,2
Changing the Game (Play by Play #2),13.38,Three,In stock,Books,3
Candide,58.63,Three,In stock,Books,3
Can You Keep a Secret?,21.94,One,In stock,Books,1
Atlas Shrugged,26.58,Five,In stock,Books,5
Animal Farm,57.22,Three,In stock,Books,3
A Walk to Remember,56.43,One,In stock,Books,1
A New Earth: Awakening to Your Life's Purpose,55.65,Five,In stock,Books,5
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",27.62,One,In stock,Books,1
'Salem's Lot,49.56,Four,In stock,Books,4
Zero History (Blue Ant #3),34.77,One,In stock,Books,1
Wuthering Heights,17.73,Three,In stock,Books,3
World War Z: An Oral History of the Zombie War,21.8,One,In stock,Books,1
Wild: From Lost to Found on the Pacific Crest Trail,46.02,Three,In stock,Books,3
"Where'd You Go, Bernadette",18.13,One,In stock,Books,1
When You Are Engulfed in Flames,30.89,Five,In stock,Books,5
We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,31.95,Three,In stock,Books,3
We Are All Completely Beside Ourselves,24.04,One,In stock,Books,1
Walk the Edge (Thunder Road #2),32.36,Three,In stock,Books,3
Voyager (Outlander #3),21.07,Five,In stock,Books,5
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,50.66,Three,In stock,Books,3
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,13.66,Two,In stock,Books,2
"Unstuffed: Decluttering Your Home, Mind, and Soul",58.09,One,In stock,Books,1
Under the Banner of Heaven: A Story of Violent Faith,30.0,One,In stock,Books,1
Two Boys Kissing,32.74,Two,In stock,Books,2
Twilight (Twilight #1),41.93,Two,In stock,Books,2
Twenties Girl,42.8,Two,In stock,Books,2
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",53.51,One,In stock,Books,1
Three-Martini Lunch,23.21,Three,In stock,Books,3
"Thinking, Fast and Slow",21.14,One,In stock,Books,1
The Wild Robot,56.07,Three,In stock,Books,3
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,Three,In stock,Books,3
The Undomestic Goddess,45.75,Four,In stock,Books,4
The Travelers,15.77,One,In stock,Books,1
The Tipping Point: How Little Things Can Make a Big Difference,10.02,Two,In stock,Books,2
The Thing About Jellyfish,48.77,One,In stock,Books,1
The Stand,57.86,Two,In stock,Books,2
The Smitten Kitchen Cookbook,23.59,One,In stock,Books,1
The Silkworm (Cormoran Strike #2),23.05,Five,In stock,Books,5
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,Five,In stock,Books,5
The Rose & the Dagger (The Wrath and the Dawn #2),58.64,Four,In stock,Books,4
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,One,In stock,Books,1
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),42.57,Three,In stock,Books,3
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,One,In stock,Books,1
The Rest Is Noise: Listening to the Twentieth Century,34.77,One,In stock,Books,1
The Red Tent,35.66,Five,In stock,Books,5
The Purpose Driven Life: What on Earth Am I Here for?,37.19,Three,In stock,Books,3
The Purest Hook (Second Circle Tattoos #3),12.25,One,In stock,Books,1
The Picture of Dorian Gray,29.7,Two,In stock,Books,2
The Paris Wife,36.8,Three,In stock,Books,3
The Obsession,45.43,One,In stock,Books,1
The Nightingale,26.26,Four,In stock,Books,4
The New Guy (and Other Senior Year Distractions),44.92,Three,In stock,Books,3
The Nanny Diaries (Nanny #1),52.53,Five,In stock,Books,5
The Name of God is Mercy,37.25,Two,In stock,Books,2
The Maze Runner (The Maze Runner #1),20.93,One,In stock,Books,1
The Lover's Dictionary,58.09,Two,In stock,Books,2
The Lonely Ones,43.59,Five,In stock,Books,5
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,33.92,Three,In stock,Books,3
The Last Painting of Sara de Vos,55.55,Two,In stock,Books,2
"The Land of 10,000 Madonnas",29.64,Four,In stock,Books,4
The Infinities,27.41,One,In stock,Books,1
The Husband's Secret,52.51,Five,In stock,Books,5
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),47.8,Three,In stock,Books,3
The Guns of August,14.54,Two,In stock,Books,2
The Guernsey Literary and Potato Peel Pie Society,49.53,One,In stock,Books,1
The Goldfinch,43.58,Three,In stock,Books,3
The Giver (The Giver Quartet #1),12.3,One,In stock,Books,1
The Girl with All the Gifts,49.47,Three,In stock,Books,3
The Girl Who Played with Fire (Millennium Trilogy #2),22.14,Two,In stock,Books,2
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),57.48,One,In stock,Books,1
The Exiled,43.45,Three,In stock,Books,3
"The End of Faith: Religion, Terror, and the Future of Reason",22.13,Four,In stock,Books,4
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,Four,In stock,Books,4
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",57.35,Five,In stock,Books,5
The Devil Wears Prada (The Devil Wears Prada #1),44.29,One,In stock,Books,1
The Demon-Haunted World: Science as a Candle in the Dark,52.25,Four,In stock,Books,4
The Day the Crayons Came Home (Crayons),26.33,Five,In stock,Books,5
The Da Vinci Code (Robert Langdon #2),22.96,Two,In stock,Books,2
The Cuckoo's Calling (Cormoran Strike #1),19.21,One,In stock,Books,1
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,Four,In stock,Books,4
The Complete Poems,41.32,Five,In stock,Books,5
The Catcher in the Rye,24.55,One,In stock,Books,1
The Cat in the Hat (Beginner Books B-1),16.26,Two,In stock,Books,2
The Case for Christ (Cases for Christianity),47.84,One,In stock,Books,1
The Book Thief,53.49,Two,In stock,Books,2
The Book of Basketball: The NBA According to The Sports Guy,44.84,Five,In stock,Books,5
The Blind Side: Evolution of a Game,53.71,Five,In stock,Books,5
The Autobiography of Malcolm X,23.43,Two,In stock,Books,2
"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",34.32,Three,In stock,Books,3
The Art of Fielding,22.1,One,In stock,Books,1
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",25.83,Two,In stock,Books,2
Stiff: The Curious Lives of Human Cadavers,36.74,Three,In stock,Books,3
Spilled Milk: Based on a True Story,49.51,One,In stock,Books,1
Something Borrowed (Darcy & Rachel #1),48.96,Five,In stock,Books,5
Something Blue (Darcy & Rachel #2),54.62,One,In stock,Books,1
Soldier (Talon #3),24.72,Two,In stock,Books,2
Shopaholic & Baby (Shopaholic #5),46.45,Two,In stock,Books,2
Seven Days in the Art World,52.33,Two,In stock,Books,2
Seven Brief Lessons on Physics,30.6,Four,In stock,Books,4
Scarlet (The Lunar Chronicles #2),14.57,Four,In stock,Books,4
Sarah's Key,46.29,One,In stock,Books,1
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,Five,In stock,Books,5
